qID,th3_biggest_tfidf
1052,"{'foreigners': 8.595638629866983, 'nepal': 7.6793478979928285, 'recommend': 7.902491449307038}"
1054,"{'activate': 8.595638629866983, 'command': 8.595638629866983, 'dlc': 8.595638629866983, 'laptop': 12.796828105061527}"
1056,"{'glt': 8.190173521758819, 'hsbc': 8.190173521758819, 'placement': 8.190173521758819}"
1058,"{'authors': 8.595638629866983, 'pen': 7.497026341198874, 'writers': 8.595638629866983}"
1060,"{'exempt': 8.595638629866983, 'providing': 8.595638629866983, 'vocational': 8.595638629866983}"
1062,"{'iii': 7.209344268747093, 'imminent': 7.902491449307038, 'war': 5.625224164297282}"
1064,"{'?': 1.0007542426504639, 'song': 6.516197088187147, 'write': 6.723836452965392}"
1066,"{'demonetization': 7.3428756613716155, ""modi's"": 8.595638629866983, 'narendra': 6.803879160638928}"
1068,"{'.': 7.790316528149134, ""haven't"": 7.497026341198874, 'share': 13.607758321277856}"
1070,"{'fact': 7.3428756613716155, 'interesting': 6.516197088187147, ""shouldn't"": 7.902491449307038}"
1072,"{'controlled': 8.595638629866983, 'fusion': 8.190173521758819, 'problem': 7.209344268747093}"
1074,"{'3ds': 8.190173521758819, 'android': 6.110731980078983, 'emulator': 8.190173521758819}"
1076,"{'boutique': 8.595638629866983, 'clothes': 14.994052682397747, 'wholesale': 8.595638629866983}"
1078,"{'engineer': 6.64972848081167, 'science': 6.2442633727035055, 'true': 6.803879160638928}"
1080,"{'bootloader': 8.190173521758819, 'rooting': 8.595638629866983, 'unlock': 7.6793478979928285}"
1082,"{'?': 1.0007542426504639, 'bss': 8.595638629866983, 'engineer': 6.64972848081167}"
1084,"{'judaism': 8.595638629866983, 'moderators': 8.595638629866983, 'punished': 8.595638629866983}"
1086,"{'?': 1.0007542426504639, 'dreams': 7.209344268747093, 'lucid': 7.902491449307038}"
1088,"{'beautiful': 7.497026341198874, 'feel': 5.575213743722621, 'like': 4.509662317315399}"
1090,"{'12th': 7.6793478979928285, 'ca': 6.803879160638928, 'science': 6.2442633727035055}"
1092,"{'hack': 6.803879160638928, 'someones': 8.595638629866983, 'whatsapp': 6.5807356093247185}"
1094,"{'math': 6.2442633727035055, 'study': 6.153291594497779, 'ucla': 8.190173521758819}"
1096,"{'best': 3.462785703046478, 'lesson': 8.190173521758819, 'life': 4.89433665575449}"
1098,"{'apps': 6.890890537628558, 'interesting': 6.516197088187147, 'mobile': 6.110731980078983}"
1100,"{'phd': 8.595638629866983, 'planning': 7.091561233090709, 'presidency': 7.091561233090709, ""trump's"": 7.6793478979928285}"
1102,"{'batman': 7.209344268747093, 'order': 6.803879160638928, 'various': 7.6793478979928285}"
1104,"{'daily': 6.986200717432883, 'hacks': 7.902491449307038, 'life': 9.78867331150898}"
1106,"{'eating': 7.091561233090709, 'lose': 6.293053536872938, 'week': 7.902491449307038}"
1108,"{'anime': 7.6793478979928285, 'character': 7.3428756613716155, 'favourite': 7.497026341198874}"
1110,"{'atm': 7.6793478979928285, 'internally': 8.595638629866983, 'machines': 8.595638629866983}"
1112,"{'engineers': 7.3428756613716155, 'graduate': 6.455572466370713, 'mechanical': 6.803879160638928}"
1114,"{'equity': 7.6793478979928285, 'firm': 7.6793478979928285, 'successful': 7.091561233090709}"
1116,"{'activities': 7.902491449307038, 'date': 7.209344268747093, 'underrated': 7.902491449307038}"
1118,"{'engineer': 6.64972848081167, 'facts': 7.3428756613716155, 'mechanical': 6.803879160638928}"
1120,"{'2-3': 8.595638629866983, 'medium': 8.190173521758819, 'members': 7.6793478979928285}"
1122,"{'digest': 8.595638629866983, 'filled': 8.595638629866983, 'iq': 7.091561233090709}"
1124,"{'?': 1.0007542426504639, 'destroy': 8.190173521758819, 'world': 5.161651425381837}"
1126,"{'earn': 6.398414052530764, 'money': 5.417584799519037, 'youtube': 6.5807356093247185}"
1128,"{'differences': 6.344346831260488, 'molecules': 7.902491449307038, 'particles': 8.190173521758819}"
1130,"{'add': 7.3428756613716155, 'facebook': 6.197743357068613, 'mutual': 7.3428756613716155}"
1132,"{'closest': 8.595638629866983, 'russian': 8.595638629866983, 'vladmir': 8.595638629866983}"
1134,"{'?': 1.0007542426504639, 'start': 5.211248366521209, 'writing': 7.209344268747093}"
1136,"{'bang': 23.038043693978487, 'big': 19.742206827974154, 'start': 10.422496733042419}"
1138,"{'changes': 8.595638629866983, 'does': 7.237809774892818, 'relationship': 13.447672905930784}"
1140,"{'preparation': 6.723836452965392, 'scratch': 7.209344268747093, 'service': 6.986200717432883}"
1142,"{'glucose': 8.190173521758819, 'monitoring': 8.190173521758819, 'non-invasive': 8.190173521758819}"
1144,"{'masturbation': 7.497026341198874, 'pleasure': 8.190173521758819, 'sex': 6.153291594497779}"
1146,"{'""': 9.555852607820157, 'change': 6.030689272405446, 'stay': 7.209344268747093}"
1148,"{'egypt': 8.595638629866983, 'energy': 6.803879160638928, 'solar': 7.497026341198874}"
1150,"{'2': 11.524850571621535, '3gb': 8.595638629866983, '610': 8.595638629866983, 'ddr': 17.191277259733965, 'duo': 8.595638629866983, 'gb': 8.595638629866983, 'geforce': 8.595638629866983, 'gt': 8.595638629866983, 'nvidia': 8.595638629866983, 'ram': 8.595638629866983, 'specs': 8.595638629866983, 'syndicate': 8.595638629866983}"
1152,"{'?': 1.0007542426504639, 'abilities': 8.595638629866983, 'psychic': 8.190173521758819}"
1154,"{'manage': 7.6793478979928285, 'studies': 7.497026341198874, 'time': 4.971297696890618}"
1156,"{'academic': 8.595638629866983, 'calendar': 8.190173521758819, 'xlri': 8.595638629866983}"
1158,"{'governor': 8.190173521758819, 'patel': 8.190173521758819, 'urjit': 8.190173521758819}"
1160,"{'?': 1.0007542426504639, 'president': 6.398414052530764, 'want': 5.575213743722621}"
1162,"{'friendly': 8.595638629866983, 'neighbouring': 8.190173521758819, 'relations': 7.902491449307038}"
1164,"{'campaign': 7.3428756613716155, 'promises': 7.3428756613716155, 'reneged': 8.595638629866983, 'voters': 8.190173521758819}"
1166,"{',': 3.3200782504415627, 'learn': 4.932076983737337, 'sleeping': 7.902491449307038}"
1168,"{'asian': 7.6793478979928285, 'games': 6.986200717432883, 'playstation': 16.380347043517638}"
1170,"{'addicted': 7.3428756613716155, 'porn': 6.803879160638928, 'stop': 5.625224164297282}"
1172,"{'60s': 8.595638629866983, '80s': 8.595638629866983, 'dramatically': 8.595638629866983, ""germany's"": 8.595638629866983}"
1174,"{'graduation': 7.902491449307038, 'machine': 6.890890537628558, 'researchers': 8.595638629866983}"
1176,"{'developers': 8.190173521758819, 'future': 6.344346831260488, 'ios': 7.091561233090709}"
1178,"{'earth': 7.091561233090709, 'meaning': 6.803879160638928, 'whats': 8.595638629866983}"
1180,"{'?': 1.0007542426504639, 'boyfriend': 6.803879160638928}"
1182,"{'possible': 5.677867897782704, 'time': 4.971297696890618, 'travel': 6.153291594497779}"
1184,"{'?': 1.0007542426504639, 'face': 7.497026341198874, 'fuller': 8.190173521758819}"
1186,"{'25': 7.497026341198874, 'photography': 8.190173521758819, 'thinking': 7.209344268747093}"
1188,"{'s': 5.887588428764773, 'sex': 6.153291594497779, '’': 6.516197088187147}"
1190,"{'aluminum': 7.902491449307038, 'steel': 7.6793478979928285, 'weld': 8.595638629866983}"
1192,"{'dislike': 7.902491449307038, 'highest': 7.902491449307038, 'ratio': 7.6793478979928285}"
1194,"{'issue': 6.986200717432883, 'kashmir': 7.3428756613716155, 'solution': 7.6793478979928285}"
1196,"{'came': 8.595638629866983, 'dug': 8.190173521758819, 'hole': 7.497026341198874}"
1198,"{'create': 6.5807356093247185, 'energy': 6.803879160638928, 'free': 5.956581300251725}"
1200,"{'?': 1.0007542426504639, 'design': 7.091561233090709, 'web': 6.455572466370713}"
1202,"{'funniest': 7.497026341198874, 'highbrow': 8.595638629866983, 'joke': 7.3428756613716155}"
1204,"{'?': 1.0007542426504639, 'phenotypic': 8.595638629866983, 'ratio': 7.6793478979928285}"
1206,"{'saturn': 8.595638629866983, 'sits': 8.595638629866983, 'slowly': 8.190173521758819}"
1208,"{'academically': 8.595638629866983, 'celebrity': 7.6793478979928285, 'qualified': 8.190173521758819}"
1210,"{'headphones': 7.6793478979928285, 'wired': 8.190173521758819, 'wireless': 8.190173521758819}"
1212,"{'movies': 5.887588428764773, 'needs': 7.3428756613716155, 'watch': 6.293053536872938}"
1214,"{'3': 6.069909985558728, 'place': 6.153291594497779, 'war': 5.625224164297282}"
1216,"{'constipation': 7.6793478979928285, 'eating': 7.091561233090709, 'prunes': 8.190173521758819}"
1218,"{'coachings': 8.595638629866983, 'prelim': 8.595638629866983, 'statement': 15.358695795985657, 'unccd': 8.595638629866983}"
1220,"{'harnessed': 8.595638629866983, 'produce': 8.190173521758819, 'realized': 8.190173521758819, 'technology': 14.418688537494186}"
1222,"{'gas': 7.497026341198874, 'invest': 6.890890537628558, 'natural': 7.209344268747093, 'oil': 6.890890537628558}"
1224,"{'arnab': 7.902491449307038, 'goswami': 7.902491449307038, 'pro-bjp': 8.595638629866983}"
1226,"{'learning': 6.197743357068613, 'nuget': 8.595638629866983, 'sources': 8.595638629866983}"
1228,"{'interests': 7.902491449307038, 'lots': 8.190173521758819, 'person': 5.677867897782704}"
1230,"{'camera': 8.595638629866983, 'dahua': 8.595638629866983, 'indicator': 8.595638629866983}"
1232,"{'barack': 8.190173521758819, 'important': 6.110731980078983, 'obama': 7.497026341198874}"
1234,"{'reason': 6.64972848081167, 'supports': 8.595638629866983, 'terrorism': 8.190173521758819}"
1236,"{'?': 1.0007542426504639, 'hairfall': 8.190173521758819, 'stop': 5.625224164297282}"
1238,"{'classical': 7.6793478979928285, 'opinion': 7.209344268747093, 'song': 6.516197088187147}"
1240,"{'aspects': 8.190173521758819, 'hungary': 8.595638629866983, 'politics': 7.902491449307038}"
1242,"{'?': 1.0007542426504639, 'aim': 8.190173521758819}"
1244,"{'boss': 8.595638629866983, 'fired': 7.6793478979928285, 'respond': 8.190173521758819}"
1246,"{'cheap': 7.209344268747093, 'goa': 7.3428756613716155, 'north': 7.3428756613716155, 'stay': 7.209344268747093}"
1248,"{'quora': 4.857969011583615, 'similar': 6.986200717432883, 'website': 6.293053536872938}"
1250,"{'camps': 8.190173521758819, 'conditions': 7.902491449307038, 'refugee': 8.190173521758819}"
1252,"{'""': 9.555852607820157, 'homebird': 8.595638629866983, 'opposite': 7.902491449307038}"
1254,"{'fiance': 8.190173521758819, 'know': 5.356960177702603, 'loves': 7.6793478979928285}"
1256,"{'explain': 7.6793478979928285, 'somebody': 7.902491449307038, 'steps': 8.190173521758819}"
1258,"{'develop': 7.209344268747093, 'mind': 7.091561233090709, 'presence': 7.6793478979928285}"
1260,"{'2': 11.524850571621535, 'fallacies': 8.595638629866983, 'mathematical': 8.190173521758819}"
1262,"{'cibil': 8.190173521758819, 'score': 6.803879160638928, 'written-off': 8.595638629866983}"
1264,"{'canonical': 8.190173521758819, 'hobbit': 8.595638629866983, 'tolkien': 8.595638629866983}"
1266,"{'japanese': 7.091561233090709, 'malaysian': 8.595638629866983, 'think': 5.245734542592379}"
1268,"{'dun': 8.190173521758819, 'har': 8.190173521758819, 'ki': 8.190173521758819, 'trek': 8.190173521758819}"
1270,"{'begineer': 8.595638629866983, 'c': 6.153291594497779, 'websites': 7.091561233090709}"
1272,"{'anthem': 8.190173521758819, ""court's"": 8.190173521758819, 'patriotism': 8.595638629866983, 'screenings': 8.595638629866983, 'supreme': 8.190173521758819}"
1274,"{'called': 15.804982898614076, 'gentleman': 8.190173521758819, 'husband': 8.190173521758819}"
1276,"{'e-learning': 8.190173521758819, 'filmmaking': 8.190173521758819, 'mooc': 8.190173521758819, 'professors': 8.190173521758819}"
1278,"{'agree': 8.595638629866983, 'portability': 8.190173521758819, 'providers': 8.190173521758819}"
1280,"{'hate': 6.344346831260488, 'saga': 8.595638629866983, 'twilight': 8.190173521758819}"
1282,"{'imperialism': 8.595638629866983, 'legacy': 8.595638629866983, 'subcontinent': 8.595638629866983}"
1284,"{'c': 6.153291594497779, 'language': 5.762425285810767, 'programming': 5.887588428764773}"
1286,"{'ability': 8.595638629866983, 'improve': 5.792278248960448, 'spoken': 7.6793478979928285}"
1288,"{'?': 1.0007542426504639, 'gay': 7.497026341198874, 'sex': 6.153291594497779}"
1290,"{'grading': 8.595638629866983, 'ibdp': 8.595638629866983, 'philippine': 8.595638629866983, 'school': 13.161471218649437, 'transferring': 8.595638629866983}"
1292,"{'make': 4.971297696890618, 'money': 5.417584799519037, 'youtube': 6.5807356093247185}"
1293,"{'?': 1.0007542426504639, 'life': 4.89433665575449, 'love': 5.792278248960448}"
1295,"{'gym': 7.6793478979928285, 'option': 7.209344268747093, 'swimming': 7.6793478979928285}"
1297,"{'gynecomastia': 8.595638629866983, 'rid': 6.986200717432883, 'way': 5.04029056837757}"
1299,"{'collect': 8.190173521758819, 'gateway': 8.595638629866983, 'saudi': 8.595638629866983}"
1301,"{'hindu': 7.6793478979928285, 'scientific': 7.902491449307038, 'temples': 7.902491449307038}"
1303,"{'circumcision': 8.190173521758819, 'islam': 7.209344268747093, 'male': 7.209344268747093}"
1305,"{'booth': 8.595638629866983, 'photo': 7.497026341198874, 'photos': 7.497026341198874, 'super': 7.6793478979928285}"
1307,"{'friend': 6.2442633727035055, 'instagram': 6.2442633727035055, 'request': 7.902491449307038, 'sent': 7.3428756613716155}"
1309,"{'?': 1.0007542426504639, 'anger': 8.190173521758819, 'control': 7.3428756613716155}"
1311,"{'?': 1.0007542426504639, 'genders': 8.190173521758819}"
1313,"{'?': 1.0007542426504639, 'quora': 4.857969011583615}"
1315,"{'cooked': 8.595638629866983, 'refrigerated': 8.190173521758819, 'sausage': 8.595638629866983}"
1317,"{'available': 6.64972848081167, 'gadgets': 7.6793478979928285, 'smartphones': 7.902491449307038}"
1319,"{'closeted': 8.595638629866983, 'feel': 5.575213743722621, 'gay': 7.497026341198874}"
1321,"{'amazon': 7.209344268747093, 'roles': 7.902491449307038, 'switch': 7.3428756613716155}"
1323,"{'continuing': 8.595638629866983, 'dictatorship': 8.190173521758819, 'present': 7.6793478979928285}"
1325,"{'coffee': 7.3428756613716155, 'cup': 7.497026341198874, 'great': 13.447672905930784}"
1327,"{'?': 1.0007542426504639, 'election': 6.153291594497779, 'rigged': 8.190173521758819}"
1329,"{'bootcamp': 8.595638629866983, 'careercup': 8.595638629866983, 'gayle': 8.190173521758819, ""hasn't"": 8.190173521758819, 'laakmann': 8.190173521758819, 'mcdowell': 8.190173521758819, 'mooc': 8.190173521758819}"
1331,"{'?': 2.0015084853009277, 'fermentation': 17.191277259733965, 'products': 6.723836452965392}"
1333,"{'""': 9.555852607820157, 'colorshift': 8.595638629866983, 'film': 7.3428756613716155}"
1335,"{'kashmir': 7.3428756613716155, 'pakistan': 6.2442633727035055, 'war': 5.625224164297282}"
1337,"{'card': 6.398414052530764, 'food': 6.64972848081167, 'stamp': 8.595638629866983}"
1339,"{'abstraction': 8.595638629866983, 'encapsulation': 8.595638629866983, 'example': 7.902491449307038}"
1341,"{'application': 6.890890537628558, 'fabricate': 8.595638629866983, 'insurance': 7.902491449307038}"
1343,"{'accordion': 8.190173521758819, 'beginners': 8.595638629866983, 'learn': 4.932076983737337}"
1345,"{'army': 7.497026341198874, 'junior': 7.902491449307038, 'leaders': 7.902491449307038}"
1347,"{'opinion': 7.209344268747093, 'removal': 7.6793478979928285, 'rupees': 7.209344268747093}"
1349,"{'bengaluru': 8.190173521758819, 'facts': 7.3428756613716155, 'mind-blowing': 7.902491449307038}"
1351,"{'+': 12.688693662520976, 'group': 7.3428756613716155, 'parents': 7.3428756613716155}"
1353,"{'book': 5.823049907627202, 'chemistry': 7.3428756613716155, 'neet': 7.3428756613716155}"
1355,"{'?': 1.0007542426504639, 'enlightenment': 8.190173521758819, 'essence': 8.595638629866983}"
1357,"{'answered': 7.902491449307038, 'easily': 7.497026341198874, 'posted': 7.497026341198874}"
1359,"{'asks': 7.902491449307038, 'interviewer': 7.497026341198874, 'mba': 7.497026341198874, 'pen': 7.497026341198874, 'pursuing': 8.595638629866983}"
1361,"{'dishes': 7.6793478979928285, 'minestrone': 8.595638629866983, 'soup': 8.190173521758819}"
1363,"{'flying': 8.190173521758819, 'gold': 6.803879160638928, 'maximum': 8.190173521758819}"
1365,"{'confirmed': 8.190173521758819, 'rac': 8.190173521758819, 'seat': 8.595638629866983}"
1367,"{'copycats': 8.595638629866983, 'interface': 8.190173521758819, 'protect': 7.6793478979928285}"
1369,"{'?': 1.0007542426504639, 'improve': 5.792278248960448, 'skills': 6.803879160638928}"
1371,"{'avr': 8.595638629866983, 'pi': 7.902491449307038, 'raspberry': 7.902491449307038, 'spi': 8.595638629866983}"
1373,"{'2016': 5.527585694733366, 'best': 3.462785703046478, 'movies': 5.887588428764773}"
1375,"{'ban': 7.3428756613716155, 'effect': 6.986200717432883, 'rs': 6.516197088187147}"
1377,"{'?': 1.0007542426504639, 'best': 3.462785703046478, 'photos': 7.497026341198874}"
1379,"{'away': 7.209344268747093, 'home': 6.516197088187147, 'run': 6.516197088187147, 'students': 6.723836452965392}"
1381,"{'+': 12.688693662520976, 'access': 6.64972848081167, 'modifiers': 8.190173521758819}"
1383,"{'analyze': 8.595638629866983, 'history': 6.293053536872938, 'unscientific': 8.595638629866983}"
1385,"{'death': 6.455572466370713, 'interesting': 6.516197088187147, 'theories': 7.902491449307038}"
1387,"{'need': 5.823049907627202, 'shot': 7.902491449307038, 'tetanus': 8.190173521758819}"
1389,"{'bend': 8.190173521758819, 'gravity': 7.497026341198874, 'light': 6.723836452965392}"
1391,"{'hike': 8.595638629866983, 'mean': 5.527585694733366, 'skirt': 8.190173521758819}"
1393,"{'cars': 7.091561233090709, 'maserati': 8.595638629866983, 'sold': 7.497026341198874}"
1395,"{'following': 8.190173521758819, 'message': 7.209344268747093, ""you're"": 7.902491449307038}"
1397,"{'brown': 8.595638629866983, 'pitbull': 8.190173521758819, 'spots': 8.595638629866983}"
1399,"{'chicken': 7.497026341198874, 'difference': 5.114398540531291, 'turkey': 6.986200717432883}"
1401,"{'asked': 7.209344268747093, 'questions': 5.792278248960448, 'surreal': 8.190173521758819}"
1403,"{'computer': 5.956581300251725, 'engineering': 5.921489980440454, 'science': 6.2442633727035055}"
1189,"{'having': 6.398414052530764, 'sex': 6.153291594497779, 'time': 4.971297696890618}"
1406,"{'astrologer': 8.595638629866983, 'consult': 8.595638629866983, 'free': 5.956581300251725}"
1408,"{""don't"": 5.599906356312992, 'feel': 5.575213743722621, 'sympathy': 8.595638629866983}"
1410,"{'brothers': 8.595638629866983, 'hate': 6.344346831260488, 'sisters': 7.902491449307038}"
1412,"{'downloading': 7.497026341198874, 'form': 7.497026341198874, 'kannada': 8.595638629866983, 'torrent': 7.6793478979928285}"
1414,"{'causes': 6.455572466370713, 'death': 6.455572466370713, 'gruesome': 8.595638629866983}"
1416,"{'?': 1.0007542426504639, 'latency': 8.190173521758819, 'telecom': 8.595638629866983}"
1418,"{'hospital': 8.595638629866983, 'rao': 8.595638629866983, 'residency': 8.595638629866983}"
1420,"{'adaptations': 8.190173521758819, 'behavioral': 8.190173521758819, 'pandas': 8.190173521758819}"
1422,"{'engineering': 5.921489980440454, 'good': 4.526611875629173, 'textile': 8.190173521758819}"
1424,"{'car': 6.344346831260488, 'fastest': 7.497026341198874, 'production': 7.902491449307038}"
1426,"{'?': 1.0007542426504639, 'magnets': 7.902491449307038}"
1428,"{'a332': 8.595638629866983, 'street': 8.190173521758819, 'value': 6.5807356093247185}"
1430,"{'agent': 7.902491449307038, 'cia': 7.902491449307038, 'fbi': 7.902491449307038, 'qualifications': 8.595638629866983}"
1432,"{'2014': 7.091561233090709, 'operating': 7.902491449307038, 'pc': 7.497026341198874}"
1434,"{'absent': 8.595638629866983, 'channels': 7.3428756613716155, 'northeast': 8.190173521758819}"
1436,"{'hypothetical': 8.595638629866983, 'implement': 8.595638629866983, 'scenario': 8.595638629866983}"
1438,"{'mark': 7.6793478979928285, 'needing': 7.209344268747093, 'quickly': 7.497026341198874}"
1440,"{'contact': 8.190173521758819, 'good': 4.526611875629173, 'hacker': 7.091561233090709}"
1442,"{'2016': 5.527585694733366, 'horror': 7.3428756613716155, 'novel': 7.6793478979928285}"
1444,"{'beautiful': 7.497026341198874, 'seen': 6.986200717432883, 'thing': 5.823049907627202}"
1446,"{'important': 6.110731980078983, 'living': 6.986200717432883, 'things': 5.956581300251725}"
1448,"{'life': 4.89433665575449, 'meaning': 6.803879160638928, 'purpose': 6.723836452965392}"
1450,"{'?': 1.0007542426504639, 'betray': 8.595638629866983, 'friends': 6.069909985558728}"
1452,"{'15': 7.902491449307038, '50': 7.902491449307038, 'inches': 8.190173521758819, 'weight': 11.709597211883565}"
883,"{'candy': 7.497026341198874, 'imported': 7.497026341198874, 'saltwater': 7.497026341198874, 'taffy': 7.497026341198874}"
1455,"{'price': 7.497026341198874, 'room': 7.3428756613716155, 'trying': 7.6793478979928285}"
1457,"{'did': 4.703818331756357, 'fail': 8.190173521758819, 'venuetastic': 8.595638629866983}"
1459,"{'cortana': 8.595638629866983, 'echo': 8.595638629866983, 'responses': 8.595638629866983, 'siri': 8.595638629866983}"
1461,"{'-': 5.762425285810767, 'important': 6.110731980078983, 'values': 8.595638629866983}"
1463,"{'best': 3.462785703046478, 'hackers': 8.190173521758819, 'india': 4.376130924690877}"
1465,"{'changed': 7.497026341198874, 'education': 6.890890537628558, 'indian': 5.263434119691779}"
1467,"{'columns': 8.595638629866983, 'hollow': 8.595638629866983, 'uses': 7.6793478979928285}"
1469,"{'commonly': 8.190173521758819, 'mispronounced': 8.190173521758819, 'words': 7.209344268747093}"
1471,"{'behavior': 8.190173521758819, 'intelligence': 7.497026341198874, 'mathematics': 7.497026341198874, 'teen': 7.6793478979928285}"
1473,"{'doctor': 7.497026341198874, 'late': 6.890890537628558, 'medical': 7.3428756613716155}"
1475,"{'innerspring': 8.595638629866983, 'sofa': 8.595638629866983, 'west': 8.595638629866983}"
1477,"{'notified': 8.190173521758819, 'screenshot': 7.6793478979928285, 'screenshotted': 8.595638629866983}"
1479,"{'exams': 7.497026341198874, 'final': 7.091561233090709, 'students': 6.723836452965392}"
1481,"{'26': 8.190173521758819, 'letters': 8.190173521758819, 'repeats': 8.595638629866983}"
1483,"{'hypodensity': 8.595638629866983, 'lobe': 8.595638629866983, 'parietal': 8.595638629866983}"
1485,"{'current': 7.091561233090709, 'job': 11.009192353017335, 'satisfied': 8.190173521758819}"
1487,"{'babies': 7.6793478979928285, 'cute': 7.6793478979928285, 'psychopaths': 8.190173521758819}"
1489,"{'choir': 8.595638629866983, 'horror': 7.3428756613716155, 'opera': 8.190173521758819}"
1491,"{'catholic': 8.190173521758819, 'church': 8.190173521758819, 'ostracized': 8.595638629866983, 'priest': 8.190173521758819, 'shunned': 8.595638629866983}"
1493,"{'america': 8.595638629866983, 'declare': 8.595638629866983, 'returning': 8.595638629866983, 'tattoo': 8.595638629866983}"
1495,"{'?': 1.0007542426504639, 'blocked': 6.890890537628558, 'facebook': 6.197743357068613}"
1497,"{'fantasy': 7.902491449307038, 'films': 7.209344268747093, 'scarcity': 8.595638629866983}"
1499,"{'coders': 8.190173521758819, 'nadu': 7.6793478979928285, 'tamil': 7.497026341198874}"
1501,"{'elect': 8.190173521758819, 'hear': 8.190173521758819, 'word': 6.455572466370713}"
1503,"{'2017': 6.723836452965392, 'language': 5.762425285810767, 'programming': 5.887588428764773}"
1505,"{'humanity': 7.091561233090709, 'serve': 7.6793478979928285, 'ultimate': 8.190173521758819}"
1507,"{'72': 8.595638629866983, 'calculate': 7.902491449307038, 'hours': 7.497026341198874}"
1509,"{'immigrate': 8.595638629866983, 'jimmy': 8.190173521758819, 'wales': 7.497026341198874}"
1511,"{'1hr': 8.595638629866983, 'cochin': 8.595638629866983, 'etihad': 8.595638629866983}"
1513,"{'algorithm': 8.595638629866983, ""quora's"": 8.595638629866983, 'sorting': 8.595638629866983}"
1515,"{'2016': 5.527585694733366, 'resolution': 7.902491449307038, 'year': 5.762425285810767}"
1517,"{'balaji': 8.190173521758819, 'reservations': 8.595638629866983, ""viswanathan's"": 8.595638629866983}"
1519,"{'habib': 8.595638629866983, 'haircut': 8.595638629866983, 'jawed': 8.595638629866983}"
1521,"{'composition': 8.595638629866983, 'ebook': 8.595638629866983, 'grammer': 8.595638629866983, 'martin': 8.595638629866983, 'wren': 8.595638629866983}"
1523,"{'[': 26.895345811861567, ']': 26.895345811861567, 'math': 24.977053490814022}"
1525,"{'alwys': 8.595638629866983, ""she's"": 8.595638629866983, 'spcl': 8.595638629866983, 'tried': 8.595638629866983}"
1527,"{'funds': 7.497026341198874, 'mutual': 7.3428756613716155, 'work': 5.396965512316302}"
1529,"{'anatomy': 8.595638629866983, 'column': 8.190173521758819, 'vertebral': 8.595638629866983}"
1531,"{'acoustic': 8.190173521758819, 'bass': 7.902491449307038, 'guitar': 7.6793478979928285}"
1533,"{'content': 7.3428756613716155, 'curriculum': 7.902491449307038, 'management': 14.418688537494186}"
1535,"{'12th': 7.6793478979928285, 'maths': 14.994052682397747, 'weak': 8.595638629866983}"
1537,"{'""': 9.555852607820157, 'context': 8.595638629866983, 'functional': 8.190173521758819}"
1539,"{'communism': 8.190173521758819, 'main': 6.803879160638928, 'socialism': 8.190173521758819}"
1541,"{'change': 6.030689272405446, 'facebook': 6.197743357068613, 'password': 6.197743357068613}"
1543,"{""'"": 11.709597211883565, 'sentence': 7.3428756613716155, 'valiant': 8.595638629866983}"
1545,"{'3d': 14.685751322743231, 'feel': 11.150427487445242, 'games': 13.972401434865766}"
1547,"{'companies': 6.5807356093247185, 'money': 5.417584799519037, 'payroll': 8.595638629866983}"
1549,"{'overrated': 8.190173521758819, 'seen': 6.986200717432883, 'underrated': 7.902491449307038}"
1551,"{'models': 8.190173521758819, 'neural': 8.190173521758819, 'overkill': 8.595638629866983, 'simpler': 8.595638629866983}"
1553,"{'#': 7.6793478979928285, '+': 12.688693662520976, 'c': 12.306583188995559}"
1555,"{'bike': 8.190173521758819, 'fitbit': 8.190173521758819, 'riding': 8.595638629866983}"
1557,"{'evidence': 7.3428756613716155, 'historical': 8.190173521758819, 'jesus': 7.6793478979928285}"
1559,"{'fluent': 7.6793478979928285, 'portuguese': 7.6793478979928285, 'provided': 8.595638629866983}"
1561,"{'pm': 7.3428756613716155, 'prez': 8.595638629866983, 'women': 6.5807356093247185}"
1563,"{'cash': 7.902491449307038, 'jobs': 6.723836452965392, 'part-time': 8.190173521758819}"
1565,"{'chance': 7.091561233090709, 'presidency': 7.091561233090709, 'winning': 7.902491449307038}"
1567,"{'cloud': 8.595638629866983, 'computing': 8.595638629866983, 'shift': 8.595638629866983}"
1569,"{'meet': 7.3428756613716155, 'raina': 8.190173521758819, 'suresh': 8.190173521758819}"
1571,"{'dixit': 8.190173521758819, 'kapoor': 8.190173521758819, 'madhuri': 8.190173521758819, 'picturized': 8.595638629866983}"
1573,"{'function': 7.3428756613716155, 'nucleoplasm': 8.595638629866983, 'plant': 7.497026341198874}"
1575,"{'evolution': 7.6793478979928285, 'fossil': 8.190173521758819, 'records': 7.902491449307038}"
1577,"{'?': 1.0007542426504639, 'hizmet': 8.595638629866983, 'movement': 7.902491449307038}"
1579,"{'4th': 7.902491449307038, 'exam': 13.161471218649437, 'mat': 8.595638629866983}"
1581,"{'bible': 7.902491449307038, 'creatures': 7.902491449307038, 'mythical': 7.902491449307038}"
1583,"{'anal': 7.6793478979928285, 'oral': 8.595638629866983, 'vaginal': 8.190173521758819}"
1585,"{'cincinnati': 8.595638629866983, 'conditions': 7.902491449307038, 'oh': 8.190173521758819}"
1587,"{'invest': 6.890890537628558, 'right': 6.455572466370713, 'stocks': 7.497026341198874}"
